customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,default_flag
100081,28.0,Female,West,Post-Graduate,Self-Employed,182670.48,244743.29,Car,773.0,0
100082,54.0,Male,West,Graduate,Self-Employed,652255.11,559885.99,Business,594.0,0
100083,28.0,Male,South,Graduate,Salaried,211724.76,159173.06,Home,530.0,0
100084,50.0,Female,South,Graduate,Self-Employed,1360583.07,594354.68,Car,794.0,0
100085,50.0,Female,West,Secondary,Salaried,,434557.39,Business,371.0,0
100086,42.0,Female,East,Graduate,Salaried,,788939.54,Business,801.0,0
100087,55.0,Male,East,Graduate,Salaried,1236399.51,630679.17,Car,493.0,0
100088,57.0,Male,West,Primary,Self-Employed,1816128.68,2219864.02,Car,695.0,0
100089,52.0,Female,South,Graduate,Salaried,2197704.73,2888108.96,Business,750.0,1
100090,21.0,Female,West,Post-Graduate,Unemployed,353601.54,425446.56,Business,571.0,1
100091,62.0,,East,Post-Graduate,Self-Employed,1061621.8,538428.52,Home,,0
100092,60.0,Male,East,Post-Graduate,Self-Employed,1186813.81,220328.34,Education,402.0,0
100093,22.0,Male,North,Secondary,Salaried,517721.93,435936.36,Home,484.0,1
100094,60.0,,South,Graduate,Salaried,718677.19,705776.03,Home,770.0,0
100095,50.0,Female,South,Primary,Unemployed,,1144015.43,Business,734.0,0
100096,40.0,Male,West,Post-Graduate,Salaried,1064765.17,605362.85,Education,602.0,0
100097,,Female,West,Secondary,Salaried,1771054.82,1991040.57,Business,350.0,0
100098,39.0,Female,South,Graduate,,,1562137.1,Home,440.0,0
100099,40.0,Female,North,Graduate,Self-Employed,389109.43,207489.87,Car,725.0,0
100100,55.0,Female,East,Graduate,Unemployed,2106696.48,849188.45,Education,793.0,0
100101,42.0,,West,Post-Graduate,Salaried,2422280.49,3132245.65,Other,706.0,0
100102,,Male,West,Primary,Salaried,1235103.58,,Education,568.0,0
100103,27.0,Female,West,Primary,Self-Employed,1482465.13,2039489.66,Business,526.0,0
100104,65.0,Male,West,Secondary,Salaried,266332.14,398074.83,Other,418.0,1
100105,29.0,Male,East,Graduate,Self-Employed,2374659.88,1521968.89,Home,458.0,0
100106,52.0,Female,East,Primary,Salaried,,1725803.23,Education,671.0,1
100107,55.0,Female,East,Primary,Salaried,2426239.95,3456341.29,Car,765.0,1
100108,62.0,Female,North,Primary,Salaried,2474064.5,2931202.96,Other,510.0,1
100109,34.0,Female,South,Secondary,Salaried,2269232.0,59510.01,Other,448.0,0
100110,37.0,Female,North,Graduate,Salaried,,264649.85,Home,543.0,0
100111,32.0,Male,South,Graduate,Salaried,1909943.44,1390591.99,Home,,0
100112,49.0,Female,North,Graduate,Unemployed,1708655.13,807991.8,Business,331.0,1
100113,46.0,Male,North,Graduate,Unemployed,350498.46,88435.88,Education,,1
100114,60.0,Female,East,Secondary,Salaried,864162.77,680040.07,Home,740.0,0
100115,62.0,Female,South,Secondary,Self-Employed,1140047.49,1423574.85,Home,708.0,0
100116,41.0,Male,East,Secondary,Salaried,2321325.28,280400.7,Home,387.0,1
100117,44.0,Female,North,Graduate,Salaried,944778.68,217110.7,Business,662.0,0
100118,24.0,Female,East,Secondary,Salaried,673554.03,680684.26,Education,529.0,0
100119,56.0,Male,East,Graduate,Self-Employed,2140759.97,3130678.2,Education,326.0,0
100120,22.0,Male,East,Post-Graduate,Salaried,600860.9,171948.75,Home,710.0,0
100121,26.0,Female,South,Secondary,Salaried,545189.52,289270.27,Other,632.0,0
100122,59.0,Male,North,Secondary,Self-Employed,295448.98,82075.69,Business,753.0,0
100123,59.0,Male,East,Secondary,,980801.02,207596.71,Education,798.0,0
100124,23.0,Male,North,Primary,Salaried,670062.83,181072.17,Home,561.0,0
100125,21.0,Female,West,Secondary,Salaried,1812517.33,1385088.14,Home,662.0,0
100126,48.0,Male,North,Post-Graduate,Salaried,1510287.26,1621845.92,Business,969.0,0
100127,22.0,Female,South,Graduate,Self-Employed,2110300.12,2915496.84,Home,390.0,1
100128,36.0,Male,West,Graduate,Salaried,899836.98,491284.24,Home,641.0,0
100129,53.0,Female,South,Post-Graduate,Salaried,1867519.53,2303156.33,Car,451.0,1
100130,37.0,Male,South,Graduate,Self-Employed,590979.02,696463.11,Other,805.0,0
100131,58.0,Male,East,Post-Graduate,,530221.17,100895.92,Education,752.0,0
100132,58.0,Male,North,Secondary,Salaried,311984.92,397630.38,Home,378.0,0
100133,60.0,Female,West,Graduate,Salaried,2017017.29,,Other,760.0,0
100134,62.0,Male,West,Graduate,Unemployed,1225213.61,,Home,651.0,0
100135,53.0,Female,North,Secondary,Salaried,1199458.56,964384.51,Education,462.0,0
100136,45.0,Male,East,Graduate,Salaried,1643656.85,858340.57,Business,637.0,0
100137,,Male,South,Secondary,Salaried,508113.84,299132.14,Home,701.0,0
100138,40.0,Female,East,Graduate,Self-Employed,2103184.82,2343730.78,Business,839.0,1
100139,53.0,Male,East,Secondary,Unemployed,972819.04,1129689.21,Car,496.0,1
100140,,Male,North,Graduate,Salaried,1893654.09,1519276.58,Other,644.0,0
100141,29.0,Female,South,Secondary,Self-Employed,1968946.93,2398994.04,Home,469.0,0
100142,47.0,Male,South,Post-Graduate,Self-Employed,1925547.5,2274677.22,Education,539.0,0
100143,51.0,Female,South,Secondary,Unemployed,2463900.32,1733216.17,Other,588.0,0
100144,54.0,Male,South,Graduate,Self-Employed,501084.6,225408.98,Other,792.0,0
100145,27.0,Female,North,Secondary,Self-Employed,812875.82,1108586.98,Home,450.0,0
100146,35.0,Female,East,Post-Graduate,Salaried,1099773.2,648211.16,Education,695.0,0
100147,35.0,Male,North,Graduate,Self-Employed,2016003.08,459221.81,Business,593.0,0
100148,65.0,Female,West,Secondary,Salaried,363803.79,176862.95,Other,453.0,0
100149,54.0,Male,East,Secondary,Salaried,733179.65,720752.02,Business,768.0,0
100150,59.0,Female,South,Graduate,Salaried,,129540.22,Home,726.0,0
100151,54.0,Female,North,Post-Graduate,Salaried,,1550895.29,Business,320.0,0
100152,23.0,Female,East,Secondary,Salaried,2009366.44,1072011.71,Education,406.0,0
100153,29.0,Male,East,Graduate,Salaried,1987610.82,1412003.11,Car,790.0,0
100154,25.0,Female,West,Primary,Salaried,2015373.37,2683508.01,Other,623.0,0
100155,46.0,Other,West,Secondary,Self-Employed,13290600.97,365936.4,Education,348.0,0
100156,38.0,Male,East,Secondary,Salaried,1200188.99,1724108.9,Business,647.0,0
100157,65.0,Female,East,Graduate,Self-Employed,363110.65,348013.15,Education,484.0,0
100158,27.0,Male,East,Secondary,Self-Employed,1168589.29,,Education,659.0,0
100159,60.0,Other,East,Graduate,Self-Employed,313070.71,331632.83,Car,715.0,0
100160,22.0,Male,West,Primary,Salaried,1986155.67,1123061.64,Home,692.0,0
100161,59.0,Male,West,Post-Graduate,Salaried,1950355.97,1700331.56,Education,842.0,0
100162,62.0,Male,North,Primary,Salaried,1381169.04,1896957.81,Education,420.0,1
100163,49.0,Male,East,Graduate,Unemployed,644413.75,174411.47,Business,375.0,0
100164,26.0,Female,East,Graduate,Self-Employed,1455993.38,669630.23,Car,607.0,0
100165,44.0,Female,North,Post-Graduate,Self-Employed,729227.95,565680.81,Education,669.0,0
100166,50.0,Female,South,Graduate,Salaried,897554.46,1345806.73,Business,790.0,0
100167,57.0,Male,East,Graduate,Salaried,1757852.86,941183.7,Car,486.0,0
100168,48.0,Female,North,Graduate,Salaried,885568.94,257051.02,Other,530.0,0
100169,39.0,Female,East,Secondary,Unemployed,816726.4,784457.28,Car,846.0,1
100170,58.0,Female,South,Secondary,Self-Employed,2272642.07,,Home,342.0,0
100171,26.0,Male,East,Graduate,Self-Employed,1146481.34,1116937.66,Other,809.0,0
100172,39.0,Female,East,Graduate,Self-Employed,1769178.75,824448.83,Car,374.0,0
100173,49.0,,West,Secondary,Self-Employed,905191.4,989465.71,Car,653.0,0
100174,44.0,Female,North,Secondary,Salaried,800534.28,335305.4,Business,399.0,1
100175,,Male,South,Graduate,Unemployed,1853017.95,568157.29,Other,463.0,0
100176,50.0,Female,East,Graduate,Salaried,1092321.87,776303.01,Education,546.0,1
100177,24.0,Male,West,Graduate,,1740247.8,781622.07,Business,308.0,0
100178,29.0,Female,East,Graduate,Salaried,1109349.36,970448.28,Education,499.0,0
100179,25.0,Male,West,Graduate,,2474690.43,2541644.07,Home,421.0,1
100180,46.0,Male,East,Graduate,Salaried,,485008.62,Home,711.0,0
100181,23.0,Male,East,Graduate,Salaried,525542.34,709411.19,Other,443.0,1
100182,41.0,Male,East,Graduate,Salaried,1362536.71,1026658.74,Home,606.0,0
100183,44.0,Male,North,Post-Graduate,Salaried,2028471.17,2220682.67,Education,327.0,0
100184,62.0,Female,South,Graduate,Salaried,575587.98,561637.79,Car,689.0,0
100185,23.0,Female,North,Secondary,Salaried,12897053.58,742680.88,Other,508.0,0
100186,51.0,Female,North,Graduate,Salaried,1481257.31,2217809.05,Education,789.0,0
100187,32.0,Male,East,Graduate,Self-Employed,2192958.22,2255233.65,Car,570.0,0
100188,36.0,Male,East,Secondary,Unemployed,870465.79,412902.12,Business,512.0,0
100189,41.0,Male,East,Secondary,Salaried,1440202.83,1940327.1,Car,704.0,0
100190,39.0,Male,North,Secondary,Salaried,774950.02,582939.76,Education,506.0,0
100191,56.0,Female,South,Secondary,Self-Employed,735134.39,103440.85,Car,843.0,0
100192,24.0,Male,East,Graduate,Salaried,1968177.25,65037.94,Business,461.0,0
100193,51.0,Female,East,Secondary,Self-Employed,2286413.74,352343.29,Home,537.0,0
100194,32.0,Male,South,Post-Graduate,Salaried,2119991.42,2516306.63,Education,490.0,0
100195,23.0,Male,North,Post-Graduate,Salaried,1234089.86,1205090.09,Car,836.0,0
100196,53.0,Male,South,Graduate,Salaried,1876196.62,1842051.87,Education,490.0,1
100197,39.0,Female,South,Secondary,Self-Employed,,2813559.19,Business,827.0,0
100198,63.0,Male,South,Graduate,Unemployed,195845.88,143503.48,Education,757.0,0
100199,,Female,North,Secondary,Salaried,728221.98,,Business,776.0,0
100200,64.0,Female,East,Graduate,Self-Employed,2362274.65,1333982.27,Car,526.0,1
100201,51.0,Male,East,Secondary,Salaried,1272321.14,1048966.79,Other,523.0,0
100202,26.0,Female,East,Primary,Salaried,323278.67,288182.52,Other,817.0,0
100203,30.0,Male,West,Secondary,Salaried,1532902.61,254559.94,Home,,0
100204,50.0,Male,West,Graduate,Salaried,1252717.67,,Home,322.0,1
100205,34.0,Female,North,Secondary,Self-Employed,1435499.33,176732.6,Business,370.0,0
100206,23.0,Male,South,Graduate,Self-Employed,,2391059.5,Business,730.0,0
100207,49.0,Female,West,Secondary,,1715358.69,1410675.08,Other,656.0,0
100208,46.0,Female,South,Graduate,Self-Employed,2450098.38,1728457.47,Car,734.0,0
100209,36.0,Male,South,Secondary,Unemployed,1862055.55,359542.25,Home,729.0,0
100210,36.0,Male,North,Graduate,,1739094.84,2281679.55,Business,550.0,0
100211,,Male,South,Graduate,Self-Employed,505114.53,753060.21,Other,539.0,0
100212,41.0,Female,East,Secondary,,,1952681.31,Home,723.0,0
100213,56.0,Female,South,Graduate,Salaried,1329840.23,1940871.49,Education,690.0,0
100214,65.0,Male,South,Secondary,Salaried,1427993.57,554103.13,Car,530.0,0
100215,50.0,Female,West,Post-Graduate,Salaried,491095.18,216757.04,Home,508.0,0
100216,49.0,Female,North,Graduate,Self-Employed,299564.98,7011389.84,Car,340.0,0
100217,58.0,Female,South,Graduate,Self-Employed,952477.2,1369458.26,Car,315.0,1
100218,28.0,Female,West,Post-Graduate,Self-Employed,1812743.11,1108656.45,Education,545.0,0
100219,45.0,Male,East,Secondary,Salaried,2228123.73,,Education,780.0,0
100220,34.0,Male,West,Primary,Self-Employed,1899705.52,95408.56,Car,727.0,0
100221,42.0,Male,South,Graduate,Self-Employed,1768844.14,719890.05,Business,800.0,0
100222,50.0,Male,East,Secondary,Self-Employed,1312893.87,1809842.41,Home,360.0,0
100223,63.0,Male,North,Secondary,Self-Employed,716925.47,775123.33,Business,,1
100224,44.0,Male,West,Graduate,Salaried,,902334.3,Education,317.0,0
100225,55.0,Female,North,Graduate,Self-Employed,1178929.84,1664796.03,Home,483.0,1
100226,54.0,Male,South,Graduate,Salaried,1002303.35,1205404.21,Business,380.0,1
100227,50.0,Female,South,Secondary,Self-Employed,367031.25,546379.67,Business,332.0,1
100228,45.0,Female,North,Graduate,Self-Employed,371831.8,479214.26,Home,639.0,0
100229,54.0,Female,South,Secondary,Self-Employed,2239125.99,1623282.56,Education,347.0,0
100230,55.0,Female,North,Secondary,Self-Employed,216326.78,106862.87,Business,,0
100231,25.0,Male,South,Graduate,Self-Employed,1750721.12,1442532.98,Car,693.0,0
100232,65.0,Female,East,Primary,Salaried,2125725.21,1118980.24,Education,706.0,0
100233,22.0,Female,West,Graduate,Salaried,14574837.12,1559385.05,Other,689.0,0
100234,39.0,Female,North,Primary,Salaried,1831091.0,1759400.26,Home,698.0,0
100235,26.0,Male,East,Secondary,Self-Employed,417176.88,100262.72,Other,,0
100236,,Male,North,Primary,Salaried,1564864.97,1852089.08,Business,694.0,1
100237,45.0,Female,South,Graduate,Salaried,1063298.29,264500.59,Car,608.0,0
100238,25.0,Male,East,Secondary,Salaried,358457.56,172750.52,Business,552.0,0
100239,59.0,Female,West,Secondary,Salaried,2381270.43,1220037.69,Education,689.0,0
100240,49.0,Male,South,Secondary,Self-Employed,1793078.13,,Education,481.0,0
100241,39.0,Female,West,Post-Graduate,Self-Employed,936056.07,429549.97,Other,702.0,0
100242,33.0,Female,South,Graduate,Salaried,2390970.7,1682506.7,Education,514.0,0
100243,65.0,Male,West,Graduate,Salaried,,371880.48,Business,,0
100244,25.0,Male,West,Graduate,Salaried,2322510.15,3036118.04,Education,728.0,0
100245,65.0,Female,North,Secondary,Salaried,1722089.82,471357.81,Business,345.0,0
100246,42.0,Female,West,Secondary,Salaried,695042.5,791299.24,Business,526.0,1
100247,50.0,Female,South,Secondary,Salaried,422554.51,292859.67,Car,387.0,1
100248,43.0,Male,West,Graduate,Salaried,988056.69,9271784.31,Education,763.0,0
100249,23.0,Female,North,Primary,Salaried,433721.42,530495.81,Other,549.0,0
100250,31.0,Male,West,Post-Graduate,Salaried,13826484.36,350576.17,Other,742.0,0
100251,33.0,Male,West,Secondary,Self-Employed,657419.99,754274.45,Other,364.0,0
100252,32.0,Male,South,Graduate,Salaried,2181316.79,1750284.7,Other,620.0,0
100253,46.0,Female,East,Secondary,Salaried,580263.83,602609.44,Other,604.0,0
100254,26.0,Female,East,Secondary,Salaried,,644271.59,Other,823.0,0
100255,29.0,Female,West,Secondary,Self-Employed,1788764.39,7905943.64,Business,477.0,0
100256,39.0,Male,East,Graduate,Self-Employed,2188011.58,3126369.72,Business,796.0,1
100257,56.0,Female,West,Secondary,Salaried,1827530.31,1244536.18,Home,471.0,1
100258,35.0,Male,East,Secondary,Salaried,1991317.26,1711301.77,Home,807.0,0
100259,57.0,Male,East,Graduate,Self-Employed,1943209.58,1314433.32,Home,523.0,0
100260,62.0,Female,East,Post-Graduate,Salaried,789731.32,1028249.09,Home,389.0,1
100261,36.0,Male,East,Post-Graduate,Self-Employed,1173347.58,1103631.72,Home,511.0,0
100262,57.0,Male,East,Graduate,Salaried,14569092.59,1111362.8,Other,573.0,0
100263,64.0,Female,South,Post-Graduate,Self-Employed,2311543.41,3441638.18,Car,429.0,0
100264,36.0,Male,East,Graduate,Self-Employed,1748864.16,1309522.3,Business,575.0,0
100265,49.0,,North,Secondary,Self-Employed,1791712.39,2363984.7,Education,765.0,0
100266,58.0,Male,North,Graduate,Salaried,1720813.66,956740.71,Business,364.0,0
100267,34.0,Female,South,Graduate,Salaried,837935.94,710551.23,Business,433.0,0
100268,42.0,Female,North,Primary,Self-Employed,12166064.8,100988.7,Home,461.0,0
100269,48.0,Male,South,Post-Graduate,Salaried,2208662.22,2910323.76,Education,395.0,0
100270,26.0,Male,South,Primary,Self-Employed,1864293.0,2124199.43,Home,739.0,0
100271,21.0,Male,North,Secondary,Salaried,1757559.92,74019.2,Business,651.0,0
100272,65.0,Male,North,Secondary,Salaried,2049819.85,362156.75,Car,676.0,0
100273,45.0,Female,South,Graduate,Self-Employed,338714.93,308028.16,Car,468.0,0
100274,61.0,Female,West,Graduate,Salaried,684007.65,925085.0,Other,443.0,0
100275,45.0,Male,West,Secondary,Salaried,822564.96,149737.63,Home,591.0,0
100276,63.0,Female,South,Graduate,Salaried,1914997.25,884166.22,Car,355.0,0
100277,52.0,Male,South,Graduate,Salaried,1405624.68,2062527.59,Car,,0
100278,,Female,West,Secondary,Self-Employed,1949524.18,2793371.11,Home,374.0,1
100279,21.0,Male,North,Post-Graduate,Unemployed,1103302.06,509799.48,Business,813.0,0
100280,65.0,Male,South,Secondary,Salaried,1366226.9,456260.95,Business,459.0,0
100281,,Female,North,Secondary,Salaried,2391952.91,894282.22,Business,550.0,1
100282,28.0,Male,North,Secondary,Self-Employed,1898326.98,384140.67,Car,440.0,0
100283,52.0,Female,East,Secondary,Salaried,1992207.63,839713.77,Home,420.0,0
100284,42.0,Female,East,Graduate,Salaried,2442117.36,2317386.6,Education,808.0,0
100285,24.0,Female,South,Secondary,Salaried,,381783.93,Other,418.0,1
100286,21.0,Male,North,Secondary,Salaried,1068512.38,283046.76,Business,336.0,0
100287,35.0,Male,West,Post-Graduate,Salaried,2096313.03,1818600.63,Home,422.0,0
100288,32.0,Male,North,Post-Graduate,Salaried,1259018.49,569029.01,Other,618.0,0
100289,50.0,Male,South,Secondary,Self-Employed,1895816.29,727712.83,Business,677.0,0
100290,33.0,Female,South,Secondary,Unemployed,235471.79,214200.67,Home,309.0,0
100291,63.0,Male,East,Secondary,Salaried,732548.82,566051.32,Car,361.0,0
100292,38.0,Male,South,Post-Graduate,Salaried,1805964.83,1040436.51,Other,386.0,0
100293,29.0,Female,West,Primary,Salaried,1189160.28,1721704.2,Education,542.0,1
100294,46.0,Female,East,Secondary,Salaried,353274.85,147284.28,Car,411.0,1
100295,49.0,Male,West,Secondary,Salaried,1967181.26,1360908.35,Home,774.0,0
100296,26.0,Male,East,Graduate,Self-Employed,273565.15,351223.58,Car,635.0,1
100297,43.0,Male,North,Graduate,Salaried,2478369.76,163995.28,Other,714.0,0
100298,56.0,Male,West,Secondary,Self-Employed,461771.55,,Business,527.0,1
100299,44.0,Female,North,Graduate,,2065573.25,116454.8,Business,366.0,1
100300,,Male,East,Secondary,Unemployed,297479.47,,Business,743.0,0
100301,52.0,Male,West,Secondary,Salaried,614190.58,,Other,452.0,1
100302,60.0,Male,East,Graduate,Self-Employed,1291351.76,215532.99,Car,692.0,0
100303,62.0,Female,South,Graduate,Self-Employed,2024043.29,3004423.44,Business,667.0,0
100304,43.0,Female,East,Secondary,Salaried,919795.96,341229.82,Business,587.0,1
100305,54.0,Male,South,Post-Graduate,Salaried,1703925.46,717886.86,Car,357.0,0
100306,57.0,Female,West,Secondary,Self-Employed,2140912.49,606718.2,Education,625.0,0
100307,58.0,Male,East,Post-Graduate,,1486412.63,460277.66,Car,804.0,0
100308,52.0,Male,North,Secondary,Salaried,1401360.55,51402.56,Education,506.0,0
100309,32.0,Female,East,Primary,Salaried,1814895.51,428544.54,Education,413.0,0
100310,25.0,Male,West,Graduate,Salaried,928439.43,1360248.25,Business,747.0,0
100311,62.0,Male,East,Secondary,Salaried,586815.78,304731.91,Home,601.0,0
100312,65.0,Female,West,Post-Graduate,Self-Employed,1496559.99,449640.32,Other,625.0,0
100313,,Female,North,Post-Graduate,Salaried,1909196.52,719671.69,Home,627.0,0
100314,63.0,Female,East,Secondary,Salaried,758934.8,123787.99,Home,562.0,0
100315,24.0,,West,Post-Graduate,Self-Employed,,783159.27,Business,684.0,0
100316,57.0,Female,South,Secondary,Salaried,2142168.96,982870.68,Home,626.0,0
100317,25.0,Male,West,Secondary,Salaried,2365055.21,3470781.22,Other,646.0,0
100318,51.0,Female,West,Post-Graduate,Salaried,2244227.59,571009.76,Car,403.0,0
100319,47.0,Female,East,Graduate,Salaried,402524.94,267584.3,Education,802.0,0
100320,,Male,East,Graduate,Self-Employed,1294361.88,233454.87,Education,511.0,1
100321,26.0,Male,North,Secondary,Salaried,1314704.6,1320556.6,Business,393.0,0
100322,32.0,Male,West,Secondary,Salaried,,578431.39,Other,531.0,0
100323,24.0,Male,North,Primary,Salaried,1436161.69,2092599.88,Business,532.0,0
100324,54.0,Male,West,Graduate,Salaried,873336.89,547455.61,Other,335.0,0
100325,57.0,Female,South,Secondary,Self-Employed,581079.22,858775.28,Car,516.0,0
100326,23.0,Male,West,Secondary,Self-Employed,523077.54,487131.71,Home,627.0,0
100327,26.0,Male,West,Graduate,Self-Employed,1385676.57,1910476.56,Other,312.0,0
100328,58.0,Female,West,Secondary,Salaried,1494497.91,1327080.68,Other,402.0,0
100329,,Female,East,Post-Graduate,Salaried,1699107.4,1479292.22,Education,784.0,1
100330,46.0,Male,West,Primary,Self-Employed,949066.26,376338.77,Education,786.0,0
